s.no,student_name,class,session_year,parent_name,parent_email,parent_country_code,parent_phone,country,state,city,pincode,loginId,password
1,"Dummy Student 1",6,2024-2025,"Dummy Parent 1",CB4+001@ibees.com,91,,India,UP,Delhi,110001,CB4_1,CB4_1
2,"Dummy Student 2",6,2024-2025,"Dummy Parent 2",CB4+002@ibees.com,91,,India,UP,Delhi,110002,CB4_2,CB4_2
3,"Dummy Student 3",6,2024-2025,"Dummy Parent 3",CB4+003@ibees.com,91,,India,UP,Delhi,110003,CB4_3,CB4_3
4,"Dummy Student 4",6,2024-2025,"Dummy Parent 4",CB4+004@ibees.com,91,,India,UP,Delhi,110004,CB4_4,CB4_4
5,"Dummy Student 5",6,2024-2025,"Dummy Parent 5",CB4+005@ibees.com,91,,India,UP,Delhi,110005,CB4_5,CB4_5
6,"Dummy Student 6",6,2024-2025,"Dummy Parent 6",CB4+006@ibees.com,91,,India,UP,Delhi,110006,CB4_6,CB4_6
7,"Dummy Student 7",6,2024-2025,"Dummy Parent 7",CB4+007@ibees.com,91,,India,UP,Delhi,110007,CB4_7,CB4_7
8,"Dummy Student 8",6,2024-2025,"Dummy Parent 8",CB4+008@ibees.com,91,,India,UP,Delhi,110008,CB4_8,CB4_8
9,"Dummy Student 9",6,2024-2025,"Dummy Parent 9",CB4+009@ibees.com,91,,India,UP,Delhi,110009,CB4_9,CB4_9
10,"Dummy Student 10",6,2024-2025,"Dummy Parent 10",CB4+010@ibees.com,91,,India,UP,Delhi,110010,CB4_10,CB4_10
11,"Dummy Student 11",6,2024-2025,"Dummy Parent 11",CB4+011@ibees.com,91,,India,UP,Delhi,110011,CB4_11,CB4_11
12,"Dummy Student 12",6,2024-2025,"Dummy Parent 12",CB4+012@ibees.com,91,,India,UP,Delhi,110012,CB4_12,CB4_12
13,"Dummy Student 13",6,2024-2025,"Dummy Parent 13",CB4+013@ibees.com,91,,India,UP,Delhi,110013,CB4_13,CB4_13
14,"Dummy Student 14",6,2024-2025,"Dummy Parent 14",CB4+014@ibees.com,91,,India,UP,Delhi,110014,CB4_14,CB4_14
15,"Dummy Student 15",6,2024-2025,"Dummy Parent 15",CB4+015@ibees.com,91,,India,UP,Delhi,110015,CB4_15,CB4_15
16,"Dummy Student 16",6,2024-2025,"Dummy Parent 16",CB4+016@ibees.com,91,,India,UP,Delhi,110016,CB4_16,CB4_16
17,"Dummy Student 17",6,2024-2025,"Dummy Parent 17",CB4+017@ibees.com,91,,India,UP,Delhi,110017,CB4_17,CB4_17
18,"Dummy Student 18",6,2024-2025,"Dummy Parent 18",CB4+018@ibees.com,91,,India,UP,Delhi,110018,CB4_18,CB4_18
19,"Dummy Student 19",6,2024-2025,"Dummy Parent 19",CB4+019@ibees.com,91,,India,UP,Delhi,110019,CB4_19,CB4_19
20,"Dummy Student 20",6,2024-2025,"Dummy Parent 20",CB4+020@ibees.com,91,,India,UP,Delhi,110020,CB4_20,CB4_20
21,"Dummy Student 21",6,2024-2025,"Dummy Parent 21",CB4+021@ibees.com,91,,India,UP,Delhi,110021,CB4_21,CB4_21
22,"Dummy Student 22",6,2024-2025,"Dummy Parent 22",CB4+022@ibees.com,91,,India,UP,Delhi,110022,CB4_22,CB4_22
23,"Dummy Student 23",6,2024-2025,"Dummy Parent 23",CB4+023@ibees.com,91,,India,UP,Delhi,110023,CB4_23,CB4_23
24,"Dummy Student 24",6,2024-2025,"Dummy Parent 24",CB4+024@ibees.com,91,,India,UP,Delhi,110024,CB4_24,CB4_24
25,"Dummy Student 25",6,2024-2025,"Dummy Parent 25",CB4+025@ibees.com,91,,India,UP,Delhi,110025,CB4_25,CB4_25
