s.no,student_name,class,session_year,parent_name,parent_email,parent_country_code,parent_phone,country,state,city,pincode,loginId,password
1,"Dummy Student1",6,2024-2025,"Dummy Parent1",,,,India,"Himachal Pradesh",Solan,123456,CIS11_3,CIS11_3
2,"Dummy Student2",6,2024-2025,"Dummy Parent2",,,,India,Kerala,Kozhikode,123456,CIS11_4,CIS11_4
3,"Dummy Student3",6,2024-2025,"Dummy Parent3",,,,India,"Himachal Pradesh",Solan,123456,CIS11_5,CIS11_5
4,"Dummy Student4",6,2024-2025,"Dummy Parent4",,,,India,Kerala,Kozhikode,123456,CIS11_6,CIS11_6
5,"Dummy Student5",6,2024-2025,"Dummy Parent5",,,,India,"Himachal Pradesh",Solan,123456,CIS11_7,CIS11_7
6,"Dummy Student6",6,2024-2025,"Dummy Parent6",,,,India,Kerala,Kozhikode,123456,CIS11_8,CIS11_8
7,"Dummy Student7",6,2024-2025,"Dummy Parent7",,,,India,"Himachal Pradesh",Solan,123456,CIS11_9,CIS11_9
8,"Dummy Student8",6,2024-2025,"Dummy Parent8",,,,India,Kerala,Kozhikode,123456,CIS11_10,CIS11_10
9,"Dummy Student9",6,2024-2025,"Dummy Parent9",,,,India,"Himachal Pradesh",Solan,123456,CIS11_11,CIS11_11
10,"Dummy Student10",6,2024-2025,"Dummy Parent10",,,,India,Kerala,Kozhikode,123456,CIS11_12,CIS11_12
11,"Dummy Student11",6,2024-2025,"Dummy Parent11",,,,India,"Himachal Pradesh",Solan,123456,CIS11_13,CIS11_13
12,"Dummy Student12",6,2024-2025,"Dummy Parent12",,,,India,Kerala,Kozhikode,123456,CIS11_14,CIS11_14
13,"Dummy Student13",6,2024-2025,"Dummy Parent13",,,,India,"Himachal Pradesh",Solan,123456,CIS11_15,CIS11_15
14,"Dummy Student14",6,2024-2025,"Dummy Parent14",,,,India,Kerala,Kozhikode,123456,CIS11_16,CIS11_16
15,"Dummy Student15",6,2024-2025,"Dummy Parent15",,,,India,"Himachal Pradesh",Solan,123456,CIS11_17,CIS11_17
16,"Dummy Student16",6,2024-2025,"Dummy Parent16",,,,India,Kerala,Kozhikode,123456,CIS11_18,CIS11_18
17,"Dummy Student17",6,2024-2025,"Dummy Parent17",,,,India,"Himachal Pradesh",Solan,123456,CIS11_19,CIS11_19
18,"Dummy Student18",6,2024-2025,"Dummy Parent18",,,,India,Kerala,Kozhikode,123456,CIS11_20,CIS11_20
19,"Dummy Student19",6,2024-2025,"Dummy Parent19",,,,India,"Himachal Pradesh",Solan,123456,CIS11_21,CIS11_21
